FACILITY_ID,STATUS,FACILITY_NAME,RECORD_ID,PROGRAM_NAME,PROGRAM_ELEMENT__PE_,PE_DESCRIPTION,FACILITY_ADDRESS,FACILITY_CITY,FACILITY__STATE,FACILITY_ZIP,FACILITY_LATITUDE,FACILITY_LONGITUDE,OWNER_ID,OWNER_NAME,OWNER_ADDRESS,OWNER_CITY,OWNER_STATE,OWNER_ZIP,Location,ObjectId
FA0007701,Open,"CARNICERIA,LATINA",PR0030150,"CARNICERIA,LATINA",1612,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",1375 E COLORADO ST,GLENDALE,CA,91205,34.1429957657,-118.2347137928,OW0001851,"AHAMAD,EDWARD",1375  E COLORADO BLVD,GLENDALE,CA,91205,"(34.1429957657, -118.2347137928)",14348
FA0004199,Open,7-ELEVEN STORE 24246C,PR0001384,7-ELEVEN STORE 24246C,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",18205 PRAIRIE AVE,TORRANCE,CA,90504,33.8651497255,-118.3442410793,OW0036984,JIF CORPORATION,PO BOX 219088,DALLAS,TX,75221,"(33.8651497255, -118.3442410793)",14353
FA0158095,Open,CUATRO UNO MARKET,PR0146185,CUATRO UNO MARKET,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",1820 JAMES M WOOD BLVD,LOS ANGELES,CA,90006,34.0520257068,-118.2762296797,OW0123194,ALMA ROSA GARCIA,1820 JAMES M WOOD BLVD,LOS ANGELES,CA,90006,"(34.0520257068, -118.2762296797)",14362
FA0278443,Open,ADAMS SQUARE LIQUOR,PR0232535,ADAMS SQUARE LIQUOR,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1021 E CHEVY CHASE DR,GLENDALE,CA,91205,34.1338395004,-118.242378,OW0267363,ADAMS SQUARE LIQUOR INC.,1205 E WINDSOR RD,GLENDALE,CA,91205,"(34.1338395004, -118.242378)",14363
FA0012785,Open,EL TREBOL BEAUTY SUPPLY,PR0028358,EL TREBOL BEAUTY SUPPLY,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",2310 E CESAR E CHAVEZ AVE,LOS ANGELES,CA,90033,34.0469610331,-118.2085952377,OW0012806,"GARCIA, HILDA P",2310  E CESAR CHAVEZ,LOS ANGELES,CA,90033,"(34.0469610331, -118.2085952377)",14365
FA0016985,Open,COSTCO WHOLESALE # 671,PR0024526,COSTCO WHOLESALE #671-WAR,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",14501 HINDRY AVE,HAWTHORNE,CA,90250,33.8998531266,-118.373423485,OW0008881,COSTCO WHOLESALE CORPORATION,P.O. BOX 35005,SEATTLE,WA,98124-3405,"(33.8998531266, -118.373423485)",14366
FA0299269,Open,ARCO,PR0256350,ARCO,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",16809 PIONEER BLVD,ARTESIA,CA,90701,None,None,OW0282733,"JOHAL OIL CORPORATION, INC",16809 PIONEER BLVD,ARTESIA,CA,90701,None,14367
FA0008384,Open,CHARLIE'S ARCO,PR0046151,CHARLIE'S ARCO,1612,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",1058 N AVALON BLVD,WILMINGTON,CA,90744,33.7845021168,-118.2625700256,OW0025291,"MULCAHY ENTERPRISES, INC",1058  N AVALON BLVD,WILMINGTON,CA,90744,"(33.7845021168, -118.2625700256)",14373
FA0175752,Open,DOLLAR TREE #6022,PR0168958,DOLLAR TREE #6022,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",871 W ARROW HWY,SAN DIMAS,CA,91773,34.1068086183,-117.8239601309,OW0010221,"DOLLAR TREE STORES, INC",500 VOLVO PKWY,CHESAPEAKE,VA,23320,"(34.1068086183, -117.8239601309)",14376
FA0252421,Open,BLACKJACK MARKET,PR0201684,BLACKJACK MARKET - MAIN MARKET,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",12643 SHERMAN WAY # G,NORTH HOLLYWOOD,CA,91606,34.2012245304,-118.408833,OW0246194,AN-SK GROUP INC,12643 SHERMAN WAY # G,NORTH HOLLYWOOD,CA,91606,"(34.2012245304, -118.408833)",14377
FA0056830,Open,7-ELEVEN #25304D,PR0005761,7-ELEVEN #25304D,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",8500 W OLYMPIC BLVD,LOS ANGELES,CA,90035,34.0592603111,-118.3766585033,OW0033872,SSR MARKETING INC,PO BOX 219088,DALLAS,TX,75221,"(34.0592603111, -118.3766585033)",14380
FA0296891,Open,FIRESTONE LIQUOR,PR0253579,FIRESTONE LIQUOR,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",2724 FIRESTONE BLVD,SOUTH GATE,CA,90280,None,None,OW0280817,INDERJIT SINGH HUNDAL,2724 FIRESTONE BLVD,SOUTH GATE,CA,90280,None,14381
FA0017362,Open,CVS/PHARMACY #09527,PR0035188,CVS # 09527,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",12100 VENTURA BLVD,STUDIO CITY,CA,91604,34.1433328656,-118.3956205087,OW0012926,"GARFIELD BEACH CVS, LLC.",1 CVS DR MC# 1160,WOONSOCKET,RI,02895,"(34.1433328656, -118.3956205087)",14388
FA0002295,Open,7-ELEVEN #39629,PR0034640,7-ELEVEN (39629),1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",3555 W TEMPLE ST,LOS ANGELES,CA,90004,34.0768702433,-118.2863679216,OW0016659,"HUSSAIN, KIRAN J.",PO BOX 219088,DALLAS,TX,75221,"(34.0768702433, -118.2863679216)",14394
FA0243628,Open,FER Y OS ZAVALETA MINI MARKET,PR0191851,FER Y OS ZAVALETA MINI MARKET,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",635 S ROWAN AVE,LOS ANGELES,CA,90023,34.0274898149,-118.1874808177,OW0238896,JOSE BARRALES-ZAVALETA,3411 WINTER ST,LOS ANGELES,CA,90063,"(34.0274898149, -118.1874808177)",14395
FA0013848,Open,FOOD 4 LESS #379,PR0001963,FOOD 4 LESS #379,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",1900 W ROSECRANS AVE,COMPTON,CA,90222,33.901558986,-118.2522712031,OW0012108,"FOOD 4 LESS, INC.",PO BOX 54143,LOS ANGELES,CA,90054,"(33.901558986, -118.2522712031)",14396
FA0058340,Open,BIG 5 SPORTING GOODS # 15,PR0043099,BIG 5 SPORTING GOODS # 15,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",5247 N LAKEWOOD BLVD,LAKEWOOD,CA,90712,33.8532982927,-118.1431111195,OW0004673,BIG 5 CORP,PO BOX 92088,LOS ANGELES,CA,90009,"(33.8532982927, -118.1431111195)",14397
FA0017483,Open,CVS/PHARMACY #9605,PR0000362,CVS/PHARMACY #9605,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",10181 RESEDA BLVD,NORTHRIDGE,CA,91324,34.2564425578,-118.5363710618,OW0012926,"GARFIELD BEACH CVS, LLC.",1 CVS DR MC# 1160,WOONSOCKET,RI,02895,"(34.2564425578, -118.5363710618)",14398
FA0248154,Open,ALDI #19,PR0196799,ALDI #19,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",11215 LAKEWOOD BLVD,DOWNEY,CA,90241,33.9417831918,-118.0508895568,OW0226753,AI CALIFORNIA LLC,12661 ALDI PL,MORENO VALLEY,CA,92555,"(33.9417831918, -118.0508895568)",14403
FA0005688,Open,ALATORRE MARKET-DELI/MEAT,PR0048368,ALATORRE MARKET,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",1709 N WILLOWBROOK AVE,COMPTON,CA,90222,33.9077375533,-118.2275702953,OW0002005,"ALATORRE MARKET, INC",1709  N WILLOWBROOK AVE,COMPTON,CA,90222,"(33.9077375533, -118.2275702953)",14410
FA0003571,Open,AMAPOLA DELI & MARKET,PR0041438,AMAPOLA DELI & MARKET,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",13733 GARFIELD AVE,PARAMOUNT,CA,90723,33.9120163485,-118.1696960854,OW0020273,LA AMAPOLA INC.,10020 NORWALK BLVD,SANTA FE SPRINGS,CA,90670,"(33.9120163485, -118.1696960854)",14411
