Vendor,Address,Second Address,City,Zip_Code_Old,County,Longitude,Latitude
Walmart #2886,8500 Washington Blvd,None,Pico Rivera,90660,Los Angeles,-118.1051,33.98492
Ralphs #277,950 N La Brea Ave,None,Inglewood,90302,Los Angeles,-118.3569,33.97548
Smart & Final #428,1855 W Glenoaks Blvd,None,Glendale,91201,Los Angeles,-118.2923,34.17466
Smart & Final #511,2511 Daly St,None,Lincoln Heights,90031,Los Angeles,-118.2166,34.07542
Smart & Final #471,3708 W. Burbank Blvd,None,Burbank,91505,Los Angeles,-118.3509,34.17414
Walmart #2951,1731 E Avenue J,None,Lancaster,93535,Los Angeles,-118.0978,34.69254
Walmart #2526,19821 Rinaldi St,None,Porter Ranch,91326,Los Angeles,-118.5668,34.27762
Ralphs #266,11922 S Vermont Ave,None,Los Angeles,90044,Los Angeles,-118.291,33.92508
Walmart #5605,14530 Nordoff St,None,Panorama City,91402,Los Angeles,-118.4487,34.23443
Walmart #3180,4651 Firestone Blvd,None,South Gate,90280,Los Angeles,-118.1878,33.95481
Food 4 Less #370,4910 Huntington Dr,None,Los Angeles,90032,Los Angeles,-118.176,34.08664
Walmart #5603,12270 Paramount Blvd,None,Downey,90242,Los Angeles,-118.1477,33.92812
Walmart #2110,14501 Lakewood Blvd,None,Paramount,90723,Los Angeles,-118.1454,33.90246
Walmart #5686,1301 N Victory Pl,None,Burbank,91502,Los Angeles,-118.3252,34.18816
Walmart #5807,2100 N Long Beach Blvd,None,Compton,90221,Los Angeles,-118.2083,33.90997
Target Store T-2424,6750 Cherry Ave,None,Long Beach,90805,Los Angeles,-118.1662,33.87708
Smart & Final #512,7224 Mason Ave,None,Winnetka,91306,Los Angeles,-118.5786,34.20201
Smart & Final #437,39212 10Th St West,None,Palmdale,93551,Los Angeles,-118.1449,34.59599
Smart & Final #598,4237 Woodruff Ave,None,Lakewood,90713,Los Angeles,-118.1179,33.83474
